CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
npfmc2016fishery,55.5,-154.4,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,54.7,-158.1,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,53.9,-161.4,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,52.8,-166.28,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,52.29,-170.1,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,57.04,-161.01,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,56.6,-165.4,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,58.79,-167.78,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,61.69,-167.1,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,60.99,-169.8,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,juvenile,soft-sediment;rock,,physiochem,mostly occurs over the inner continental shelf,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,34.32,-125.5,actinopterygii,gadidae,gadus macrocephalus,,,benthopelagic,adult,soft-sediment;rock,,food; shelter,prefers mud; clay and sand; occurs in depths upto 500m,catch-survey,<1000,>100ha,,,,Bottom trawl; longline; pit and jig; concentrated on first few months of the year,,
npfmc2016fishery,36.5,-126.5,actinopterygii,gadidae,gadus macrocephalus,,,benthopelagic,adult,soft-sediment;rock,,food; shelter,prefers mud; clay and sand; occurs in depths upto 500m,catch-survey,<1000,>100ha,,,,Bottom trawl; longline; pit and jig; concentrated on first few months of the year,,
